tag,patterns,responses,content
L35977, I'll pick the first job! I mean... I know a girl down at the bank. See if she can't get a list of towns where the railroad keeps its money., Perfect Cole.,
L35971, Just like in the war. Harass their supply lines. We kill the railroad's men they won't care., I'll pick the first job! I mean... I know a girl down at the bank. See if she can't get a list of towns where the railroad keeps its money.,
L35970, So what do we do General Lee?, Just like in the war. Harass their supply lines. We kill the railroad's men they won't care.,
L35969, This isn't a feud this is war. They've got more men than we do. We kill detectives they can replace 'em in a day., So what do we do General Lee?,
L35776, Yeah., This isn't a feud this is war. They've got more men than we do. We kill detectives they can replace 'em in a day.,
L35775, Because we were good at it?  Hell we were great at it. Jesse don't tell anyone I said this because everybody knows I'm the toughest man in this town but you are one terrifying sonofabitch with those guns., Yeah.,
L35774, But it was a whole lot of killing. Why should we miss that?, Because we were good at it?  Hell we were great at it. Jesse don't tell anyone I said this because everybody knows I'm the toughest man in this town but you are one terrifying sonofabitch with those guns.,
L35773, It was exciting., But it was a whole lot of killing. Why should we miss that?,
L35772, The war? What are you crazy?  There are things I miss about it., It was exciting.,
L35771, After all you did on our farm?  You miss it don't you Jesse?, The war? What are you crazy?  There are things I miss about it.,
L35770, Thanks for the help., After all you did on our farm?  You miss it don't you Jesse?,
L35763, All right calm down. I'll agree Sadie was a woman --, Thanks for the help.,
L35762, She was European!, All right calm down. I'll agree Sadie was a woman --,
L35761, She had a moustache., She was European!,
L35754, She got two of them., She had a moustache.,
L35753, You ever notice Zerelda's eyes?, She got two of them.,
L35688, In case we have to kill these sonofabitches I don't want them to see us coming., You ever notice Zerelda's eyes?,
L35687, What is wrong with you?, In case we have to kill these sonofabitches I don't want them to see us coming.,
L35686, Not now., What is wrong with you?,
L35678, Pick your fights cousin. You taught me that., Not now.,
L35677, You're not scared are you?, Pick your fights cousin. You taught me that.,
L35676, Hands off your hip Cole., You're not scared are you?,
L35665, Planting corn. Harvesting corn. Year after year., Hands off your hip Cole.,
L35664, Home boys. Back to our farms., Planting corn. Harvesting corn. Year after year.,
L35653, There's Yankees back there. Lot's of 'em., Home boys. Back to our farms.,
L35652, Where you boys going?, There's Yankees back there. Lot's of 'em.,
L35646, Suit yourself. We'll have some horses waiting for you at the road.  Let's ride Rangers!, Where you boys going?,
L35645, I could use the walk., Suit yourself. We'll have some horses waiting for you at the road.  Let's ride Rangers!,
L35644, Ride with me cousin?, I could use the walk.,
L35615, What's going on?, Ride with me cousin?,
L35614, 'Bout time you got here buddy., What's going on?,
L35672, I'm thinking..., 'Bout time you got here buddy.,
L35671, Well?, I'm thinking...,
L35670, Hmm. Go back to the reservation and get drunk in a dirt shack or work for you..., Well?,
L35669, Tom why don't you stop at our spread before you head on out to the reservation? Figure we might have some work for you if you want., Hmm. Go back to the reservation and get drunk in a dirt shack or work for you...,
L35641, You ride like a Comanche., Tom why don't you stop at our spread before you head on out to the reservation? Figure we might have some work for you if you want.,
L35640, Wait'll we get back to Missouri start telling those gals about how little Jesse James charged the whole Union Army by himself!, You ride like a Comanche.,
L35596, You pay me to find you Bluecoats. There they are., Wait'll we get back to Missouri start telling those gals about how little Jesse James charged the whole Union Army by himself!,
L35595, Some Indian tracker you turned out to be Tom., You pay me to find you Bluecoats. There they are.,
L36323, They're just insurance in case we run., Some Indian tracker you turned out to be Tom.,
L36322, They gonna rush us?, They're just insurance in case we run.,
L36321, Another dozen out back., They gonna rush us?,
L36287, Cole he didn't mean that., Another dozen out back.,
L36286, Oh you're in charge? We ain't partners any more Jesse? You tell Cole Younger where and when to ride?, Cole he didn't mean that.,
L36285, Jesse., Oh you're in charge? We ain't partners any more Jesse? You tell Cole Younger where and when to ride?,
L36053, -- Exactly. Because this is a war., Jesse.,
L36052, Strategically., -- Exactly. Because this is a war.,
L36051, Hey! We decide something that's it! We're in this for the long haul and this idea of me and Jesse's will help give us more places to hide out without worrying about some farmer with a shotgun sneakin' up on us in our sleep. We've got to think --, Strategically.,
L35947, Get buckets!, Hey! We decide something that's it! We're in this for the long haul and this idea of me and Jesse's will help give us more places to hide out without worrying about some farmer with a shotgun sneakin' up on us in our sleep. We've got to think --,
L35946, BASTARDS! Come back here and face me!, Get buckets!,
L35768, Ah., BASTARDS! Come back here and face me!,
L35767, Shakespeare.  He's European., Ah.,
L35766, I have no idea what you just said but it sounded real nice., Shakespeare.  He's European.,
L35760, Sadie was not a man!, I have no idea what you just said but it sounded real nice.,
L35759, Oh Lord the dance hall girl at Bunty's..., Sadie was not a man!,
L35757, The brown one., Oh Lord the dance hall girl at Bunty's...,
L35756, Which one right or left?, The brown one.,
L35755, I think one of 'em's glass., Which one right or left?,
L35675, Must be a garrison in town. We're in occupied territory boys., I think one of 'em's glass.,
L35674, What the --, Must be a garrison in town. We're in occupied territory boys.,
L35609, Soon as I hit one the other'll know and beat us up., What the --,
L35608, Both would be nice., Soon as I hit one the other'll know and beat us up.,
L35607, Cannon or Gatling?, Both would be nice.,
L36393, All right all right.  Jesse James never yelled at folk..., Cannon or Gatling?,
L36392, OPEN THE DAMN SAFE!, All right all right.  Jesse James never yelled at folk...,
L36389, This here is the Younger Gang!, OPEN THE DAMN SAFE!,
L36388, Where is Jesse James?, This here is the Younger Gang!,
L36387, What?, Where is Jesse James?,
L36386, Of course!  Uh sir?, What?,
L36385, The safe. Now., Of course!  Uh sir?,
L36147, Me get heap firewater --, The safe. Now.,
L36146, Go ahead to the saloon. But don't get too drunk!, Me get heap firewater --,
L36144, Ho-yah!, Go ahead to the saloon. But don't get too drunk!,
L36143, East? East above the river heading for the Eagle Pass?, Ho-yah!,
L36142, Ho-yah. Him say tell Big Lawman in Carville that badman Jesse James riding toward Rising Sun above Great River near Eagle Rock., East? East above the river heading for the Eagle Pass?,
L36141, Of St. Louis?, Ho-yah. Him say tell Big Lawman in Carville that badman Jesse James riding toward Rising Sun above Great River near Eagle Rock.,
L36140, The District Marshall, Of St. Louis?,
L36139, Great Chief of St. Louis send me., The District Marshall,
L36138, Yeah Injun. What do you want?, Great Chief of St. Louis send me.,
L36137, You 'um big lawman?, Yeah Injun. What do you want?,
L36015, I'd appreciate that., You 'um big lawman?,
L36014, Fine. I'll just wait here., I'd appreciate that.,
L36013, It's a secret., Fine. I'll just wait here.,
L36012, Oh. Why didn't you just say so?, It's a secret.,
L36011, On account of we're robbing it., Oh. Why didn't you just say so?,
L36010, Then why can't I go in there?, On account of we're robbing it.,
L36009, You're right sir., Then why can't I go in there?,
L36008, I know it ain't no durned bank holiday!, You're right sir.,
L36028, Shit., I know it ain't no durned bank holiday!,
L36027, I had you covered.  From back there., Shit.,
L36026, Where the hell were you?, I had you covered.  From back there.,
L36020, When have you ever known Old Man Tucker not to be yelling at everybody?, Where the hell were you?,
L36019, So?, When have you ever known Old Man Tucker not to be yelling at everybody?,
L36018, Old Man Tucker is just standing quiet outside the bank., So?,
L36017, What is it?, Old Man Tucker is just standing quiet outside the bank.,
L36016, What the --, What is it?,
L35915, It's fine by me Jesse., What the --,
L35914, Yesss but I was thinking I could come by and then take Zee out. Some place near. With other folk. Near. Here.  But out., It's fine by me Jesse.,
L35913, You know you're welcome any time!, Yesss but I was thinking I could come by and then take Zee out. Some place near. With other folk. Near. Here.  But out.,
L35910, Go on. You're pretty much all healed up., You know you're welcome any time!,
L35909, What do you say sir?, Go on. You're pretty much all healed up.,
L35841, Go home Doc.  They ain't gonna hang no more Liberty boys., What do you say sir?,
L35840, Boys..., Go home Doc.  They ain't gonna hang no more Liberty boys.,
L35710, Died a hero., Boys...,
L35709, Web died fighting?, Died a hero.,
L35706, Pff. He jumped his horse clear over our heads killed a dozen Union soldiers before they knew what hit them., Web died fighting?,
L35705, My little Web did that?, Pff. He jumped his horse clear over our heads killed a dozen Union soldiers before they knew what hit them.,
L35704, -- rode right into them screaming like a banshee., My little Web did that?,
L36104, I'm upset too Zee but Jesse and Cole know what they're doing. I'm sure they won't press their luck., -- rode right into them screaming like a banshee.,
L36103, He thinks this is some kind of game!, I'm upset too Zee but Jesse and Cole know what they're doing. I'm sure they won't press their luck.,
L35877, I think he's already feeling better., He thinks this is some kind of game!,
L35876, Well I hope the boy pulls through. We should know in the morning., I think he's already feeling better.,
L35875, I fooled them into thinking I was alone., Well I hope the boy pulls through. We should know in the morning.,
L35874, They're gone. What are you --, I fooled them into thinking I was alone.,
L35863, The bullet came out clean but he lost a whole lot of blood. Praying wouldn't hurt., They're gone. What are you --,
L35862, He's going to be fine right Daddy?, The bullet came out clean but he lost a whole lot of blood. Praying wouldn't hurt.,
L35717, Zerelda it's no coincidence. The railroad men come through offering to buy up land. Nobody sells. Then they start hanging men who own farms for treason?, He's going to be fine right Daddy?,
L35716, Daddy don't start with this again., Zerelda it's no coincidence. The railroad men come through offering to buy up land. Nobody sells. Then they start hanging men who own farms for treason?,
L36529, Hell they hardly even noticed us., Daddy don't start with this again.,
L36528, See you soon. Oh and I appreciate the distraction back there., Hell they hardly even noticed us.,
L36527, I'll meet you down there in a few weeks., See you soon. Oh and I appreciate the distraction back there.,
L36349, I'm sure it seemed like a good idea at the time., I'll meet you down there in a few weeks.,
L36348, A war against the railroad. What the hell were we thinking?, I'm sure it seemed like a good idea at the time.,
L36347, Yeah., A war against the railroad. What the hell were we thinking?,
L36346, You're a piss-poor liar for the smartest man I know., Yeah.,
L36345, Railroad burned him out too. You couldn't have stopped him., You're a piss-poor liar for the smartest man I know.,
L36344, He was a boy riding with the most famous outlaws in the West. How was he supposed to say no to that?, Railroad burned him out too. You couldn't have stopped him.,
L36343, Jim was old enough..., He was a boy riding with the most famous outlaws in the West. How was he supposed to say no to that?,
L36342, Shoulda learned with Web. Made it look fun made it look like an adventure. Got Web killed. Now Jim., Jim was old enough...,
L36326, Got any ideas little brother?, Shoulda learned with Web. Made it look fun made it look like an adventure. Got Web killed. Now Jim.,
L36325, They're all pinned down. Can't even get to the door., Got any ideas little brother?,
L36289, No I --, They're all pinned down. Can't even get to the door.,
L36288, You taking sides against me now Frank?, No I --,
L36212, Just do me a favor. Think about what this is costing everybody. Not just the railroad., You taking sides against me now Frank?,
L36211, Oh yeah., Just do me a favor. Think about what this is costing everybody. Not just the railroad.,
L36210, We're drunk., Oh yeah.,
L36206, A better life than the one you could have had with Zee?, We're drunk.,
L36205, What do you want me to say Frank? I was killing men when I was fifteen. I like getting shot at. I like riding out of town with a posse at my back. This is a helluva better life than farming., A better life than the one you could have had with Zee?,
L36204, Maybe it started out that way. But now..., What do you want me to say Frank? I was killing men when I was fifteen. I like getting shot at. I like riding out of town with a posse at my back. This is a helluva better life than farming.,
L36203, We're doing this for Ma., Maybe it started out that way. But now...,
L36202, I can't quit and leave you alone. I can't quit until you quit. Ma would've wanted it that way., We're doing this for Ma.,
L36201, That's a lie. You could've bought a dozen farms with the money we've stolen., I can't quit and leave you alone. I can't quit until you quit. Ma would've wanted it that way.,
L36200, If I could go back to farming --, That's a lie. You could've bought a dozen farms with the money we've stolen.,
L36199, You've killed your fair share of men., If I could go back to farming --,
L36198, It got to you didn't it. All the killing in the war. You need it now., You've killed your fair share of men.,
L36197, And we're good at it., It got to you didn't it. All the killing in the war. You need it now.,
L36196, Jesse we're outlaws., And we're good at it.,
L36195, This has been a good year., Jesse we're outlaws.,
L36188, Bob here'll kill a man for sneezing and he's the best shot in the gang., This has been a good year.,
L36187, Pardon the delay folks but we had to get Mad Bob Younger under control!, Bob here'll kill a man for sneezing and he's the best shot in the gang.,
L36184, The posters?, Pardon the delay folks but we had to get Mad Bob Younger under control!,
L36183, Bob's upset., The posters?,
L36182, Gents we are in the middle of something here., Bob's upset.,
L36112, It's the scientific method. It's all the rage., Gents we are in the middle of something here.,
L36111, I don't think it's counterfeit. Do you mind if I take a look at all your real bills to compare?, It's the scientific method. It's all the rage.,
L36059, And I do so want to shoot some Pinkerton detectives., I don't think it's counterfeit. Do you mind if I take a look at all your real bills to compare?,
L36058, And it's guarded by Pinkerton detectives., And I do so want to shoot some Pinkerton detectives.,
L36047, And that's why you both lead the gang. Two of you went into that bank together right?, And it's guarded by Pinkerton detectives.,
L36046, And I planned getting you off the hangman's deck --, And that's why you both lead the gang. Two of you went into that bank together right?,
L36023, We're gonna have to talk..., And I planned getting you off the hangman's deck --,
L36022, Fine. How'd it go out here?, We're gonna have to talk...,
L36021, How'd it go in there?, Fine. How'd it go out here?,
L35963, Make a thousand of 'em. Still won't be enough by the time I'm through., How'd it go in there?,
L35962, Didn't think you would.  I'm going to go make the coffin., Make a thousand of 'em. Still won't be enough by the time I'm through.,
L35961, Don't care., Didn't think you would.  I'm going to go make the coffin.,
L35960, ... We could move on. Rebuild. Make a decent life someplace else., Don't care.,
L35949, Ma., ... We could move on. Rebuild. Make a decent life someplace else.,
L35948, Pinkertons. It's the railroad., Ma.,
L35912, Shut up.  Uh Doc I was wondering if uh this evening I could come by?, Pinkertons. It's the railroad.,
L35911, You're looking a bit more spry now that somebody --, Shut up.  Uh Doc I was wondering if uh this evening I could come by?,
L35908, Would you get in the carriage? Until Ma has you home so she can fuss over you herself she's gonna make me miserable., You're looking a bit more spry now that somebody --,
L35907, What do you think?, Would you get in the carriage? Until Ma has you home so she can fuss over you herself she's gonna make me miserable.,
L35906, You ready to stop loafing around with this young lady and get back to farming?, What do you think?,
L35811, Damn. All that reading paid off., You ready to stop loafing around with this young lady and get back to farming?,
L35810, I went up to the courthouse and looked at the right of way documents for the rail bed. The railroad doesn't even need our land they're just taking the land on both sides for as far as they can., Damn. All that reading paid off.,
L35784, Heard of him., I went up to the courthouse and looked at the right of way documents for the rail bed. The railroad doesn't even need our land they're just taking the land on both sides for as far as they can.,
L35783, You know him?, Heard of him.,
L35765," Your Zee? Hmm.  ""From women's eyes this doctrine I derive: they sparkle still the right Promethean fire; They are the books the arts the academes that show contain and nourish all the world.""", You know him?,
L35764, -- if you stop saying things about my Zee.," Your Zee? Hmm.  ""From women's eyes this doctrine I derive: they sparkle still the right Promethean fire; They are the books the arts the academes that show contain and nourish all the world.""",
L35752, What worries me is that Jesus is talking back., -- if you stop saying things about my Zee.,
L35751, She's still talking to Jesus., What worries me is that Jesus is talking back.,
L35735," Next time try ""fat and haggard.""", She's still talking to Jesus.,
L35734, I swear I'll shoot you in your sleep.," Next time try ""fat and haggard.""",
L35733, You are a charmer., I swear I'll shoot you in your sleep.,
L35732, You can shut up now., You are a charmer.,
L35731," ""Big and older""?", You can shut up now.,
L35725, Maybe maybe...," ""Big and older""?",
L35724, That just might work., Maybe maybe...,
L35722, What kind of story are they going to believe?, That just might work.,
L35721, Think about this. If we just come up with a story and stick to it we should be all right., What kind of story are they going to believe?,
L35720, All we thought about was coming home. I swore I'd kill anybody who tried to get me off my farm again. If I have to go to war with the railroad to stay fine by me., Think about this. If we just come up with a story and stick to it we should be all right.,
L35708, Saved all our lives Doc. None of the Liberty boys would have come home if not for Web Mimms Doc. God's honest truth., All we thought about was coming home. I swore I'd kill anybody who tried to get me off my farm again. If I have to go to war with the railroad to stay fine by me.,
L35707, Whyyyy... he took down the Gatling gun and the cannon all by himself., Saved all our lives Doc. None of the Liberty boys would have come home if not for Web Mimms Doc. God's honest truth.,
L35702, Zee we got to talk to you and your father., Whyyyy... he took down the Gatling gun and the cannon all by himself.,
L35701, You're doing just fine., Zee we got to talk to you and your father.,
L35700, Frank don't you have something to say?, You're doing just fine.,
L35684, We better go to Doc's see what's going on here., Frank don't you have something to say?,
L35683, Looks like Web Mimms wasn't the only casualty this town's got., We better go to Doc's see what's going on here.,
L35661, All this time in the saddle... We get to the farm I'm going to shoot this damn horse just on principle., Looks like Web Mimms wasn't the only casualty this town's got.,
L35660, Hello Liberty Missoura!, All this time in the saddle... We get to the farm I'm going to shoot this damn horse just on principle.,
L35651, I'm sure it seemed like a good idea at the time., Hello Liberty Missoura!,
L35650, Hell of a war., I'm sure it seemed like a good idea at the time.,
L35649, I reckoned., Hell of a war.,
L35648, Web's dead., I reckoned.,
L35639, No Jesse your problem is you're always doing stuff before I'm finished figuring it out., Web's dead.,
L35638, See that's your problem Frank. By the time you finish figuring out stuff I'm already finished doing it., No Jesse your problem is you're always doing stuff before I'm finished figuring it out.,
L35637, I figure., See that's your problem Frank. By the time you finish figuring out stuff I'm already finished doing it.,
L35636, That would have made an impression., I figure.,
L35635, You could have worn one of those big floppy woman's Easter Sunday hats., That would have made an impression.,
L35634, Such as?, You could have worn one of those big floppy woman's Easter Sunday hats.,
L35633, Mm-hmm., Such as?,
L35632, So you're saying I could have done more to attract their attention., Mm-hmm.,
L35631, Pff. They hardly even noticed you., So you're saying I could have done more to attract their attention.,
L35630, Distracting enough for you?, Pff. They hardly even noticed you.,
L35617, So we got a plan?, Distracting enough for you?,
L35616, Every time I put my head up to hit that Gatling they try to shoot it off., So we got a plan?,
L36550, Everything but the boring parts., Every time I put my head up to hit that Gatling they try to shoot it off.,
L36549, How much of that story is true?, Everything but the boring parts.,
L36548, Yeah Jimmy?, How much of that story is true?,
L36547, Uncle Frank?, Yeah Jimmy?,
L36545, I think... he was just a real interestin' fella to have around., Uncle Frank?,
L36544, So what was he?, I think... he was just a real interestin' fella to have around.,
L36543, Can't argue that., So what was he?,
L36542, But he killed a lot of men too., Can't argue that.,
L36541, Saved a lot of folk from the railroad., But he killed a lot of men too.,
L36540, They're making him a hero now., Saved a lot of folk from the railroad.,
L36539, That he was., They're making him a hero now.,
L36538, Sounds like he was a hell of a man., That he was.,
L36537, Allow a man his version of the past. When you get to be my age you've got enough painful memories you're allowed to soften a few of the edges up., Sounds like he was a hell of a man.,
L36536, I know. But that's how it should have ended. Your Dad and Mom riding off into a new life growing old together happy., Allow a man his version of the past. When you get to be my age you've got enough painful memories you're allowed to soften a few of the edges up.,
L36535, ...every time you tell that story you stop there. That's not how it ended. I was five when my dad got shot., I know. But that's how it should have ended. Your Dad and Mom riding off into a new life growing old together happy.,
L36534, Yeah Jimmy?, ...every time you tell that story you stop there. That's not how it ended. I was five when my dad got shot.,
L36533, Y'know Uncle Frank..., Yeah Jimmy?,
L35958, Shush., Y'know Uncle Frank...,
L35957, Doc Mimms will --, Shush.,
L35956, Take care of each other boys. You say your prayers., Doc Mimms will --,
L35955, We know Ma. Now we got to get you to Doc Mimms., Take care of each other boys. You say your prayers.,
L35954, Riders --, We know Ma. Now we got to get you to Doc Mimms.,
L35952, Boys?, Riders --,
L35951, Ma! Please!, Boys?,
L35804, Somebody's in a vengeful smiting mood today., Ma! Please!,
L35803, The Lord says we can bury 'em out back in the orchard nobody'll ever find them., Somebody's in a vengeful smiting mood today.,
L35780, We're just fine thank you sir., The Lord says we can bury 'em out back in the orchard nobody'll ever find them.,
L35779, Easterners., We're just fine thank you sir.,
L35750, He's a good Christian and he killed Yankees. Jesus told me that made him an all right boy., Easterners.,
L35749, Ma I'm glad to see you being nice to our Injun friend., He's a good Christian and he killed Yankees. Jesus told me that made him an all right boy.,
L35741, Say your prayers?, Ma I'm glad to see you being nice to our Injun friend.,
L35740, A fair number Ma., Say your prayers?,
L35739, Did you kill Yankees?, A fair number Ma.,
L36532, I'll explain on the way., Did you kill Yankees?,
L36531, Tennessee?, I'll explain on the way.,
L36514, Yes ma'am., Tennessee?,
L36513, Don't swear., Yes ma'am.,
L36512, You are a hell of a woman., Don't swear.,
L36511, I can't believe I had to blow up a train for you., You are a hell of a woman.,
L36510, Yes ma'am., I can't believe I had to blow up a train for you.,
L36509, You get arrested again I'll kill you., Yes ma'am.,
L36414, If you don't see it it's not real..., You get arrested again I'll kill you.,
L36413, What?, If you don't see it it's not real...,
L36412, Don't turn around., What?,
L36411, Swimming. Swimming is good., Don't turn around.,
L36410, Stop it. This is just sad., Swimming. Swimming is good.,
L36409, Aw shucks ma'am..., Stop it. This is just sad.,
L36408, Jesse have you ever noticed that when you're trying to charm your way out of trouble your accent gets all farm boy?, Aw shucks ma'am...,
L36407, Now sweetie y'all wouldn't go believing one of them silly dime novels would you?, Jesse have you ever noticed that when you're trying to charm your way out of trouble your accent gets all farm boy?,
L36406," Oh I'm not finished.  ""When he sauntered into a saloon his spurs jangling and his pockets full of gold the ladies flocked around him like flies to a candied apple.""  As I said. Hmm.", Now sweetie y'all wouldn't go believing one of them silly dime novels would you?,
L36405, Let me see that.," Oh I'm not finished.  ""When he sauntered into a saloon his spurs jangling and his pockets full of gold the ladies flocked around him like flies to a candied apple.""  As I said. Hmm.",
L36404," ""Blazing Guns of the West. True Stories of Jesse James."" Only a dime in the hotel lobby.", Let me see that.,
L36403, I beg your pardon?," ""Blazing Guns of the West. True Stories of Jesse James."" Only a dime in the hotel lobby.",
L36402," ""But the life of the James Gang wasn't all robbing and shooting and killing for these young Missouri bucks had a taste for the ladies... especially the handsome and charismatic Jesse James.""", I beg your pardon?,
L36401," ""Hmm"" what?"," ""But the life of the James Gang wasn't all robbing and shooting and killing for these young Missouri bucks had a taste for the ladies... especially the handsome and charismatic Jesse James.""",
L36400, Hmm.," ""Hmm"" what?",
L36370, Now wait a minute. There are certain things that have to wait until after the wedding., Hmm.,
L36369, I've got you. You keep me busy. I figure we'll get over to the hotel... get checked in cleaned up... then I'd like to do something I've been thinking about for a long time., Now wait a minute. There are certain things that have to wait until after the wedding.,
L36368, Are you going to be happy here Mr. James? Without all that excitement?, I've got you. You keep me busy. I figure we'll get over to the hotel... get checked in cleaned up... then I'd like to do something I've been thinking about for a long time.,
L36367, That's why I picked it. We can start a whole new life down here., Are you going to be happy here Mr. James? Without all that excitement?,
L36366, I would never have imagined us in a place like this., That's why I picked it. We can start a whole new life down here.,
L36364, She's beautiful. Smart. And has the biggest... buck teeth in all of Missouri., I would never have imagined us in a place like this.,
L36363, That's... wonderful. It's just... I thought..., She's beautiful. Smart. And has the biggest... buck teeth in all of Missouri.,
L36362, She's the most wonderful woman in the world. Can't get her out of my mind., That's... wonderful. It's just... I thought...,
L36361, I don't understand., She's the most wonderful woman in the world. Can't get her out of my mind.,
L36360, I had to see you. I'm getting married., I don't understand.,
L36359, Jesse. What are you thinking? There are bounty hunters and lawmen all over this county!, I had to see you. I'm getting married.,
L36358, Zee., Jesse. What are you thinking? There are bounty hunters and lawmen all over this county!,
L35987, When my name makes them cry in their sleep. When I've brought them to ashes., Zee.,
L35986, Whose justice? Yours or God's?  When will you stop?, When my name makes them cry in their sleep. When I've brought them to ashes.,
L35985, Laws don't touch men like Thaddeus Rains. Only justice does., Whose justice? Yours or God's?  When will you stop?,
L35984, Let the law --, Laws don't touch men like Thaddeus Rains. Only justice does.,
L35983, Me neither., Let the law --,
L35982, You and I we've started... something you know?  I don't know what'll happen if you do this., Me neither.,
L35981, Frank and me have to go away for a while., You and I we've started... something you know?  I don't know what'll happen if you do this.,
L35980, I am so sorry Jesse., Frank and me have to go away for a while.,
L35945, I've been planning on kissin' you for a very long time., I am so sorry Jesse.,
L35944, Were you planning on kissing me when you finished quoting?, I've been planning on kissin' you for a very long time.,
L35943, Yep., Were you planning on kissing me when you finished quoting?,
L35942, Is this one of Frank's Shakespeare poems you're trying to quote?, Yep.,
L35941, Little ones., Is this one of Frank's Shakespeare poems you're trying to quote?,
L35940, Sparkling rocks?, Little ones.,
L35939," Ahem. ""From this doctrine..."" No ah... ""From women's eyes this doctrine I derive they sparkle still like ... shiny... sparkling rocks...""", Sparkling rocks?,
L35937, Honestly you'd do if only you had the buck teeth.," Ahem. ""From this doctrine..."" No ah... ""From women's eyes this doctrine I derive they sparkle still like ... shiny... sparkling rocks...""",
L35936, Where will you find such a girl?, Honestly you'd do if only you had the buck teeth.,
L35935, Smart. Funny. Bossy. Always makes me think she's two steps ahead of me. And big buck teeth., Where will you find such a girl?,
L35934, And what's this right girl like?, Smart. Funny. Bossy. Always makes me think she's two steps ahead of me. And big buck teeth.,
L35933, Not if I find the right girl., And what's this right girl like?,
L35932, You planning on being a bachelor your whole life Jesse James?, Not if I find the right girl.,
L35931, Mostly. It would be an all right life for a bachelor., You planning on being a bachelor your whole life Jesse James?,
L35930, Thank God you grew out of that.  You did grow out of that didn't you?, Mostly. It would be an all right life for a bachelor.,
L35929, Arr. Hand over your jewels Missy., Thank God you grew out of that.  You did grow out of that didn't you?,
L35928, A river pirate., Arr. Hand over your jewels Missy.,
L35927, I was thinking more along the lines of being a river pirate., A river pirate.,
L35926, You didn't want to farm?, I was thinking more along the lines of being a river pirate.,
L35925, I used to come to this tree when I was a kid and imagine what my life would be like when I got older., You didn't want to farm?,
L35905, Unfair. You are completely unfair., I used to come to this tree when I was a kid and imagine what my life would be like when I got older.,
L35904, So you're saying I should leave you alone and go spend time with Jimmy Younger?, Unfair. You are completely unfair.,
L35903, I wasn't the only one risking my neck that day., So you're saying I should leave you alone and go spend time with Jimmy Younger?,
L35902, Everybody in the county knows it was you who rescued Cole. We're all so proud of you Jesse. And not a single farm's been sold to the railroad since. You're everybody's hero., I wasn't the only one risking my neck that day.,
L35901, What?, Everybody in the county knows it was you who rescued Cole. We're all so proud of you Jesse. And not a single farm's been sold to the railroad since. You're everybody's hero.,
L35900, I shouldn't tease a hero., What?,
L35899, What you do to me is unfair. The teasing I mean., I shouldn't tease a hero.,
L35898, Teasing you is completely unfair., What you do to me is unfair. The teasing I mean.,
L35897, No! I mean of course not. No., Teasing you is completely unfair.,
L35896, You're sick of my company?, No! I mean of course not. No.,
L35895, I've been on my back two weeks. I'm sick of it., You're sick of my company?,
L35894, You shouldn't be up., I've been on my back two weeks. I'm sick of it.,
L35873, Nuh-huh ..., You shouldn't be up.,
L35872, Jesse is that your hand?, Nuh-huh ...,
L35871, Mmmm., Jesse is that your hand?,
L35870, Jesse are you awake?, Mmmm.,
L35712, If there's anything we can do for you Dr. Mimms. We want to help., Jesse are you awake?,
L35711, But still died., If there's anything we can do for you Dr. Mimms. We want to help.,
L35697, But you got big!, But still died.,
L35696, You were little Jesse James when you left., But you got big!,
L35695, Zerelda? Little Zee Mimms?, You were little Jesse James when you left.,
L36508, Fair enough., Zerelda? Little Zee Mimms?,
L36507, I'd just as soon kill you Jesse James. But chasing you takes up too much of my time., Fair enough.,
L36506, Thanks., I'd just as soon kill you Jesse James. But chasing you takes up too much of my time.,
L36505, The railroad has no business in Tennessee. Therefore I have no interest in the state of Tennessee., Thanks.,
L36499, He's too important James.  They'll set the army on you. You and your wife., The railroad has no business in Tennessee. Therefore I have no interest in the state of Tennessee.,
L36498, That was for my Ma. Now this is for everybody else., He's too important James.  They'll set the army on you. You and your wife.,
L36457, No I'll hang you.  But I may miss you just a bit., That was for my Ma. Now this is for everybody else.,
L36456, Ahh you'll miss me., No I'll hang you.  But I may miss you just a bit.,
L36455, You cocky little bastard., Ahh you'll miss me.,
L36454, I'm not hanged yet., You cocky little bastard.,
L36453, That's what I would have done., I'm not hanged yet.,
L36452, Should have just killed Thaddeus Rains and been done with it., That's what I would have done.,
L36451, Was it worth it?, Should have just killed Thaddeus Rains and been done with it.,
L36450, I figured., Was it worth it?,
L36449, Oh. That's nice to know.  We're going to hang you you know., I figured.,
L36448, No that one was close. A couple fellas quit after that one., Oh. That's nice to know.  We're going to hang you you know.,
L36447, I went myself to oversee the operation. Didn't help much., No that one was close. A couple fellas quit after that one.,
L36446, Almost got me in Billings. I saw you there shooting at me., I went myself to oversee the operation. Didn't help much.,
L36445, Damn., Almost got me in Billings. I saw you there shooting at me.,
L36444, The cows had a brand from a farm just five miles out of town., Damn.,
L36443, Yes?, The cows had a brand from a farm just five miles out of town.,
L36442, You had all those cattle there so I'd think the extra men were in town from the cattle drive?, Yes?,
L36441, Mmm., You had all those cattle there so I'd think the extra men were in town from the cattle drive?,
L36440, Last February?, Mmm.,
L36439, How did you spot the ambush in Torrell?, Last February?,
L36438, Pity., How did you spot the ambush in Torrell?,
L36437, You almost ended my career before it began., Pity.,
L36435, Not that day. I am guilty of many things but that was Mr. Thaddeus Rains and Parker that day., You almost ended my career before it began.,
